age 67y 1001,,67
age 89y 1002,,89
age 66y 1003,,66
age 64y 1004,,64
age 62y 1005,,62
age 87y 1006,,87
age 73y 1007,,73
age 75y 1008,,75
age 73y 1009,,73
age 83y 1010,,83
age 82y 1011,,82
age 48y 1012,,48
age 77y 1013,,77
age 54y 1014,,54
age 63y 1015,,63
age 71y 1016,,71
age 68y 1017,,68
age 80y 1018,,80
age 92y 1019,,92
age 60y 1020,,60
age 79y 1021,,79
age 68y 1022,,68
age 93y 1023,,93
age 84y 1025,,84
age 74y 1026,,74
age 74y 1027,,74
age 76y 1028,,76
age 56y 1029,,56
age 72y 1030,,72
age 75y 1031,,75
age 79y 1032,,79
age 73y 1033,,73
age 82y 1034,,82
age 74y 1035,,74
age 79y 1036,,79
age 54y 1037,,54
age 101y 1039,,101
age 79y 1040,,79
age 84y 1041,,84
age 85y 1042,,85
age 87y 1043,,87
age 74y 1044,,74
age 77y 1045,,77
age 73y 1046,,73
age 87y 1047,,87
age 85y 1048,,85
age 88y 1049,,88
age 66y 1050,,66
age 78y 1051,,78
age 53y 1052,,53
age 76y 1053,,76
age 67y 1054,,67
age 73y 1055,,73
age 54y 1056,,54
age 73y 1057,,73
age 96y 1058,,96
age 57y 1059,,57
age 76y 1060,,76
age 47y 1061,,47
age 54y 1062,,54
age 73y 1063,,73
age 84y 1064,,84
age 62y 1065,,62
age 89y 1066,,89
age 68y 1067,,68
age 62y 1068,,62
age 79y 1069,,79
age 72y 1070,,72
age 69y 1071,,69
age 55y 1072,,55
age 73y 1074,,73
age 79y 1075,,79
age 72y 1076,,72
age 89y 1077,,89
age 79y 1078,,79
age 85y 1079,,85
age 68y 1080,,68
age 89y 1081,,89
age 73y 1082,,73
age 63y 1083,,63
age 78y 1085,,78
age 65y 1086,,65
age 65y 1087,,65
age 89y 1088,,89
age 85y 1090,,85
age 66y 1091,,66
age 76y 1092,,76
age 74y 1093,,74
age 84y 1095,,84
age 71y 1096,,71
age 49y 2001,,49
age 69y 2002,,69
age 63y 2003,,63
age 66y 2005,,66
age 85y 2006,,85
age 76y 2007,,76
age 84y 2008,,84
age 59y 2009,,59
age 70y 2010,,70
age 65y 2011,,65
age 68y 2012,,68
age 84y 2013,,84
age 75y 2014,,75
age 51y 2017,,51
age 63y 2018,,63
age 69y 2019,,69
age 78y 2020,,78
age 78y 2021,,78
age 52y 2022,,52
age 49y 2023,,49
age 53y 2024,,53
age 59y 2025,,59
age 62y 2026,,62
age 46y 2027,,46
age 68y 2028,,68
age 74y 2029,,74
age 59y 2030,,59
age 76y 2031,,76
age 54y 2032,,54
age 59y 2033,,59
age 48y 2034,,48
age 45y 2035,,45
age 62y 2036,,62
age 63y 2038,,63
age 80y 2039,,80
age 60y 2040,,60
age 71y 2041,,71
age 67y 2042,,67
age 50y 2043,,50
age 86y 2044,,86
age 70y 2045,,70
age 54y 2046,,54
age 69y 2047,,69
age 76y 2048,,76
age 58y 2049,,58
age 58y 2050,,58
age 64y 2051,,64
age 73y 2052,,73
age 49y 2053,,49
age 56y 2054,,56
age 75y 2055,,75
age 48y 2056,,48
age 81y 2058,,81
age 72y 2059,,72
age 61y 2060,,61
age 50y 2063,,50
age 69y 2064,,69
age 65y 2065,,65
age 47y 2066,,47
age 43y 2068,,43
age 55y 2069,,55
age 54y 2070,,54
age 58y 2071,,58
age 34y 2072,,34
age 65y 2074,,65
age 52y 2075,,52
age 32y 2076,,32
age 47y 2077,,47
age 54y 2078,,54
age 63y 2079,,63
age 28y 2080,,28
age 54y 2081,,54
age 59y 2082,,59
age 56y 2084,,56
age 50y 2085,,50
age 30y 2086,,30
age 50y 2089,,50
age 47y 2090,,47
age 47y 2091,,47
age 33y 2092,,33
age 38y 2093,,38
age 35y 2094,,35
age 47y 2095,,47
age 80y 2096,,80
age 86y 3012,,86
age 71y 3013,,71
age 77y 3014,,77
age 67y 3015,,67
age 84y 3016,,84
age 80y 3017,,80
age 70y 3021,,70
age 67y 3022,,67
age 63y 3023,,63
age 70y 3024,,70
age 56y 3025,,56
age 67y 3026,,67
age 70y 3027,,70
age 70y 3028,,70
age 74y 3031,,74
age 73y 3032,,73
age 77y 3033,,77
age 80y 3034,,80
age 66y 3035,,66
age 85y 3036,,85
age 76y 3037,,76
age 78y 3038,,78
age 82y 3040,,82
age 76y 3041,,76
age 71y 3043,,71
age 82y 3046,,82
age 83y 3047,,83
age 79y 3049,,79
age 75y 3050,,75
age 68y 3051,,68
age 64y 3052,,64
age 70y 3053,,70
age 92y 3056,,92
age 74y 3058,,74
age 69y 3059,,69
age 80y 3060,,80
age 63y 3061,,63
age 77y 3062,,77
age 81y 3063,,81
age 82y 3064,,82
age 69y 3065,,69
age 73y 3066,,73
age 66y 3067,,66
age 87y 3068,,87
age 68y 3069,,68
age 69y 3070,,69
age 76y 3071,,76
age 69y 3072,,69
age 81y 3073,,81
age 71y 3074,,71
age 71y 3075,,71
age 75y 3077,,75
age 60y 3078,,60
age 77y 3079,,77
age 85y 3080,,85
age 70y 3082,,70
age 62y 3083,,62
age 69y 3084,,69
age 73y 3085,,73
age 73y 3086,,73
age 74y 3087,,74
age 73y 3088,,73
age 86y 3089,,86
age 83y 3090,,83
age 76y 3091,,76
age 75y 3092,,75
age 64y 3093,,64
age 67y 3094,,67
age 88y 3096,,88
age 48y 5001,,48
age 44y 5002,,44
age 48y 5004,,48
age 62y 5005,,62
age 54y 5006,,54
age 46y 5007,,46
age 60y 5008,,60
age 40y 5009,,40
age 43y 5010,,43
age 41y 5011,,41
age 53y 5012,,53
age 48y 5013,,48
age 71y 5014,,71
age 52y 5015,,52
age 64y 5016,,64
age 48y 5017,,48
age 55y 5018,,55
age 68y 5019,,68
age 46y 5020,,46
age 64y 5021,,64
age 57y 5022,,57
age 45y 5023,,45
age 51y 5024,,51
age 53y 5025,,53
age 60y 5026,,60
age 51y 5027,,51
age 73y 5028,,73
age 38y 5029,,38
age 42y 5030,,42
age 64y 5032,,64
age 58y 5033,,58
age 43y 5034,,43
age 38y 5035,,38
age 54y 5036,,54
age 70y 5037,,70
age 44y 5038,,44
age 62y 5039,,62
age 51y 5040,,51
age 41y 5041,,41
age 53y 5042,,53
age 65y 5043,,65
age 50y 5044,,50
